0.0, 0.0
0.1, 0.1
0.2, 0.2
0.3, 0.3
0.4, 0.39
0.5, 0.48
0.6, 0.56
0.7, 0.64
0.8, 0.72
0.9, 0.78
1.0, 0.84
1.1, 0.89
1.2, 0.93
1.3, 0.96
1.4, 0.99
1.5, 1.0
1.6, 1.0
1.7, 0.99
1.8, 0.97
1.9, 0.95
2.0, 0.91
2.1, 0.86
2.2, 0.81
2.3, 0.75
2.4, 0.68
2.5, 0.6
2.6, 0.52
2.7, 0.43
2.8, 0.33
2.9, 0.24
3.0, 0.14
3.1, 0.04
3.2, -0.06
3.3, -0.16
3.4, -0.26
3.5, -0.35
3.6, -0.44
3.7, -0.53
3.8, -0.61
3.9, -0.69
4.0, -0.76
4.1, -0.82
4.2, -0.87
4.3, -0.92
4.4, -0.95
4.5, -0.98
4.6, -0.99
4.7, -1.0
4.8, -1.0
4.9, -0.98
5.0, -0.96
5.1, -0.93
5.2, -0.88
5.3, -0.83
5.4, -0.77
5.5, -0.71
5.6, -0.63
5.7, -0.55
5.8, -0.46
5.9, -0.37
6.0, -0.28
6.1, -0.18
6.2, -0.08
6.3, 0.02
6.4, 0.12
6.5, 0.22
6.6, 0.31
6.7, 0.4
6.8, 0.49
6.9, 0.58
7.0, 0.66
7.1, 0.73
7.2, 0.79
7.3, 0.85
7.4, 0.9
7.5, 0.94
7.6, 0.97
7.7, 0.99
7.8, 1.0
7.9, 1.0
8.0, 0.99
8.1, 0.97
8.2, 0.94
8.3, 0.9
8.4, 0.85
8.5, 0.8
8.6, 0.73
8.7, 0.66
8.8, 0.58
8.9, 0.5
9.0, 0.41
9.1, 0.32
9.2, 0.22
9.3, 0.12
9.4, 0.02
9.5, -0.08
9.6, -0.17
9.7, -0.27
9.8, -0.37
9.9, -0.46
